date,year,month,weekday,transportation_mode,type,values,percentage_of_pre_panademic_day
01/01/2021,2021,January,Friday,Subways,Ridership,613692,29
01/02/2021,2021,January,Saturday,Subways,Ridership,988418,37
01/03/2021,2021,January,Sunday,Subways,Ridership,653187,31
01/04/2021,2021,January,Monday,Subways,Ridership,1557977,30
01/05/2021,2021,January,Tuesday,Subways,Ridership,1597518,31
01/06/2021,2021,January,Wednesday,Subways,Ridership,1613629,31
01/07/2021,2021,January,Thursday,Subways,Ridership,1611099,31
01/08/2021,2021,January,Friday,Subways,Ridership,1619242,31
01/09/2021,2021,January,Saturday,Subways,Ridership,990412,37
01/10/2021,2021,January,Sunday,Subways,Ridership,763097,36
01/11/2021,2021,January,Monday,Subways,Ridership,1568207,30
01/12/2021,2021,January,Tuesday,Subways,Ridership,1640428,32
01/13/2021,2021,January,Wednesday,Subways,Ridership,1641652,32
01/14/2021,2021,January,Thursday,Subways,Ridership,1647396,32
01/15/2021,2021,January,Friday,Subways,Ridership,1627120,32
01/16/2021,2021,January,Saturday,Subways,Ridership,991500,37
01/17/2021,2021,January,Sunday,Subways,Ridership,797654,38
01/18/2021,2021,January,Monday,Subways,Ridership,1276978,61
01/19/2021,2021,January,Tuesday,Subways,Ridership,1635915,32
01/20/2021,2021,January,Wednesday,Subways,Ridership,1575075,31
01/21/2021,2021,January,Thursday,Subways,Ridership,1652842,32
01/22/2021,2021,January,Friday,Subways,Ridership,1672001,33
01/23/2021,2021,January,Saturday,Subways,Ridership,997551,37
01/24/2021,2021,January,Sunday,Subways,Ridership,741139,35
01/25/2021,2021,January,Monday,Subways,Ridership,1592468,31
01/26/2021,2021,January,Tuesday,Subways,Ridership,1550953,30
01/27/2021,2021,January,Wednesday,Subways,Ridership,1660278,32
01/28/2021,2021,January,Thursday,Subways,Ridership,1646806,32
01/29/2021,2021,January,Friday,Subways,Ridership,1511680,29
01/30/2021,2021,January,Saturday,Subways,Ridership,942615,35
01/31/2021,2021,January,Sunday,Subways,Ridership,722853,35
02/01/2021,2021,February,Monday,Subways,Ridership,583230,11
02/02/2021,2021,February,Tuesday,Subways,Ridership,1005985,19
02/03/2021,2021,February,Wednesday,Subways,Ridership,1702598,31
02/04/2021,2021,February,Thursday,Subways,Ridership,1785833,33
02/05/2021,2021,February,Friday,Subways,Ridership,1741015,32
02/06/2021,2021,February,Saturday,Subways,Ridership,1148477,40
02/07/2021,2021,February,Sunday,Subways,Ridership,652521,30
02/08/2021,2021,February,Monday,Subways,Ridership,1639753,30
02/09/2021,2021,February,Tuesday,Subways,Ridership,1666467,31
02/10/2021,2021,February,Wednesday,Subways,Ridership,1750121,32
02/11/2021,2021,February,Thursday,Subways,Ridership,1714656,32
02/12/2021,2021,February,Friday,Subways,Ridership,1706430,31
02/13/2021,2021,February,Saturday,Subways,Ridership,1092063,38
02/14/2021,2021,February,Sunday,Subways,Ridership,858014,39
02/15/2021,2021,February,Monday,Subways,Ridership,1218593,56
02/16/2021,2021,February,Tuesday,Subways,Ridership,1627528,30
02/17/2021,2021,February,Wednesday,Subways,Ridership,1733160,32
02/18/2021,2021,February,Thursday,Subways,Ridership,1381886,25
02/19/2021,2021,February,Friday,Subways,Ridership,1566021,29
02/20/2021,2021,February,Saturday,Subways,Ridership,1110589,39
02/21/2021,2021,February,Sunday,Subways,Ridership,836095,38
02/22/2021,2021,February,Monday,Subways,Ridership,1582054,29
02/23/2021,2021,February,Tuesday,Subways,Ridership,1730198,32
02/24/2021,2021,February,Wednesday,Subways,Ridership,1806306,33
02/25/2021,2021,February,Thursday,Subways,Ridership,1798165,33
02/26/2021,2021,February,Friday,Subways,Ridership,1822812,34
02/27/2021,2021,February,Saturday,Subways,Ridership,1072932,37
02/28/2021,2021,February,Sunday,Subways,Ridership,810071,37
03/01/2021,2021,March,Monday,Subways,Ridership,1696274,30
03/02/2021,2021,March,Tuesday,Subways,Ridership,1749511,31
03/03/2021,2021,March,Wednesday,Subways,Ridership,1846431,33
03/04/2021,2021,March,Thursday,Subways,Ridership,1808744,32
03/05/2021,2021,March,Friday,Subways,Ridership,1825915,33
03/06/2021,2021,March,Saturday,Subways,Ridership,1167884,38
03/07/2021,2021,March,Sunday,Subways,Ridership,894119,39
03/08/2021,2021,March,Monday,Subways,Ridership,1719586,31
03/09/2021,2021,March,Tuesday,Subways,Ridership,1834068,33
03/10/2021,2021,March,Wednesday,Subways,Ridership,1849077,33
03/11/2021,2021,March,Thursday,Subways,Ridership,1881902,34
03/12/2021,2021,March,Friday,Subways,Ridership,1914465,34
03/13/2021,2021,March,Saturday,Subways,Ridership,1257372,41
03/14/2021,2021,March,Sunday,Subways,Ridership,923968,40
03/15/2021,2021,March,Monday,Subways,Ridership,1730024,31
03/16/2021,2021,March,Tuesday,Subways,Ridership,1798288,32
03/17/2021,2021,March,Wednesday,Subways,Ridership,1866414,34
03/18/2021,2021,March,Thursday,Subways,Ridership,1771092,32
03/19/2021,2021,March,Friday,Subways,Ridership,1906749,34
03/20/2021,2021,March,Saturday,Subways,Ridership,1307403,43
03/21/2021,2021,March,Sunday,Subways,Ridership,1013386,44
03/22/2021,2021,March,Monday,Subways,Ridership,1801438,32
03/23/2021,2021,March,Tuesday,Subways,Ridership,1879574,34
03/24/2021,2021,March,Wednesday,Subways,Ridership,1828084,33
03/25/2021,2021,March,Thursday,Subways,Ridership,1925768,35
03/26/2021,2021,March,Friday,Subways,Ridership,1938246,35
03/27/2021,2021,March,Saturday,Subways,Ridership,1374266,45
03/28/2021,2021,March,Sunday,Subways,Ridership,807247,35
03/29/2021,2021,March,Monday,Subways,Ridership,1742162,31
03/30/2021,2021,March,Tuesday,Subways,Ridership,1881537,34
03/31/2021,2021,March,Wednesday,Subways,Ridership,1808546,32
04/01/2021,2021,April,Thursday,Subways,Ridership,1841815,33
04/02/2021,2021,April,Friday,Subways,Ridership,1757698,32
04/03/2021,2021,April,Saturday,Subways,Ridership,1318461,42
04/04/2021,2021,April,Sunday,Subways,Ridership,950194,39
04/05/2021,2021,April,Monday,Subways,Ridership,1818703,33
04/06/2021,2021,April,Tuesday,Subways,Ridership,1942198,35
04/07/2021,2021,April,Wednesday,Subways,Ridership,1985370,36
04/08/2021,2021,April,Thursday,Subways,Ridership,2013413,36
04/09/2021,2021,April,Friday,Subways,Ridership,2026724,36
04/10/2021,2021,April,Saturday,Subways,Ridership,1391245,44
04/11/2021,2021,April,Sunday,Subways,Ridership,899646,37
04/12/2021,2021,April,Monday,Subways,Ridership,1845836,33
04/13/2021,2021,April,Tuesday,Subways,Ridership,2012153,36
04/14/2021,2021,April,Wednesday,Subways,Ridership,2018126,36
04/15/2021,2021,April,Thursday,Subways,Ridership,1906733,34
04/16/2021,2021,April,Friday,Subways,Ridership,2078856,37
04/17/2021,2021,April,Saturday,Subways,Ridership,1425036,45
04/18/2021,2021,April,Sunday,Subways,Ridership,1082503,45
04/19/2021,2021,April,Monday,Subways,Ridership,1911326,34
04/20/2021,2021,April,Tuesday,Subways,Ridership,2082495,37
04/21/2021,2021,April,Wednesday,Subways,Ridership,1965922,35
04/22/2021,2021,April,Thursday,Subways,Ridership,2040232,37
04/23/2021,2021,April,Friday,Subways,Ridership,2121350,38
04/24/2021,2021,April,Saturday,Subways,Ridership,1520057,48
04/25/2021,2021,April,Sunday,Subways,Ridership,985027,41
04/26/2021,2021,April,Monday,Subways,Ridership,1955370,35
04/27/2021,2021,April,Tuesday,Subways,Ridership,2041698,37
04/28/2021,2021,April,Wednesday,Subways,Ridership,2135793,38
04/29/2021,2021,April,Thursday,Subways,Ridership,2028524,36
04/30/2021,2021,April,Friday,Subways,Ridership,2159476,39
05/01/2021,2021,May,Saturday,Subways,Ridership,1515211,47
05/02/2021,2021,May,Sunday,Subways,Ridership,1153471,48
05/03/2021,2021,May,Monday,Subways,Ridership,1971010,34
05/04/2021,2021,May,Tuesday,Subways,Ridership,2120071,37
05/05/2021,2021,May,Wednesday,Subways,Ridership,2074543,36
05/06/2021,2021,May,Thursday,Subways,Ridership,2199943,38
05/07/2021,2021,May,Friday,Subways,Ridership,2238033,39
05/08/2021,2021,May,Saturday,Subways,Ridership,1444674,45
05/09/2021,2021,May,Sunday,Subways,Ridership,1107878,46
05/10/2021,2021,May,Monday,Subways,Ridership,1990039,35
05/11/2021,2021,May,Tuesday,Subways,Ridership,2148322,38
05/12/2021,2021,May,Wednesday,Subways,Ridership,2182277,38
05/13/2021,2021,May,Thursday,Subways,Ridership,2163052,38
05/14/2021,2021,May,Friday,Subways,Ridership,2266974,40
05/15/2021,2021,May,Saturday,Subways,Ridership,1637231,51
05/16/2021,2021,May,Sunday,Subways,Ridership,1201904,50
05/17/2021,2021,May,Monday,Subways,Ridership,2022584,35
05/18/2021,2021,May,Tuesday,Subways,Ridership,2150049,38
05/19/2021,2021,May,Wednesday,Subways,Ridership,2257549,39
05/20/2021,2021,May,Thursday,Subways,Ridership,2269471,40
05/21/2021,2021,May,Friday,Subways,Ridership,2331876,41
05/22/2021,2021,May,Saturday,Subways,Ridership,1645268,51
05/23/2021,2021,May,Sunday,Subways,Ridership,1268928,53
05/24/2021,2021,May,Monday,Subways,Ridership,2118877,37
05/25/2021,2021,May,Tuesday,Subways,Ridership,2270945,40
05/26/2021,2021,May,Wednesday,Subways,Ridership,2275882,40
05/27/2021,2021,May,Thursday,Subways,Ridership,2352019,41
05/28/2021,2021,May,Friday,Subways,Ridership,2232599,39
05/29/2021,2021,May,Saturday,Subways,Ridership,1370135,43
05/30/2021,2021,May,Sunday,Subways,Ridership,1065176,45
05/31/2021,2021,May,Monday,Subways,Ridership,1389651,58
06/01/2021,2021,June,Tuesday,Subways,Ridership,2258831,40
06/02/2021,2021,June,Wednesday,Subways,Ridership,2343745,42
06/03/2021,2021,June,Thursday,Subways,Ridership,2233917,40
06/04/2021,2021,June,Friday,Subways,Ridership,2310032,41
06/05/2021,2021,June,Saturday,Subways,Ridership,1792204,56
06/06/2021,2021,June,Sunday,Subways,Ridership,1363344,52
06/07/2021,2021,June,Monday,Subways,Ridership,2223265,40
06/08/2021,2021,June,Tuesday,Subways,Ridership,2265591,40
06/09/2021,2021,June,Wednesday,Subways,Ridership,2386026,43
06/10/2021,2021,June,Thursday,Subways,Ridership,2473818,44
06/11/2021,2021,June,Friday,Subways,Ridership,2468258,44
06/12/2021,2021,June,Saturday,Subways,Ridership,1775538,55
06/13/2021,2021,June,Sunday,Subways,Ridership,1379959,53
06/14/2021,2021,June,Monday,Subways,Ridership,2223186,40
06/15/2021,2021,June,Tuesday,Subways,Ridership,2469785,44
06/16/2021,2021,June,Wednesday,Subways,Ridership,2519444,45
06/17/2021,2021,June,Thursday,Subways,Ridership,2552497,46
06/18/2021,2021,June,Friday,Subways,Ridership,2572013,98
06/19/2021,2021,June,Saturday,Subways,Ridership,1784312,55
06/20/2021,2021,June,Sunday,Subways,Ridership,1389352,53
06/21/2021,2021,June,Monday,Subways,Ridership,2264368,40
06/22/2021,2021,June,Tuesday,Subways,Ridership,2354873,42
06/23/2021,2021,June,Wednesday,Subways,Ridership,2547416,45
06/24/2021,2021,June,Thursday,Subways,Ridership,2552639,46
06/25/2021,2021,June,Friday,Subways,Ridership,2582713,46
06/26/2021,2021,June,Saturday,Subways,Ridership,1854179,58
06/27/2021,2021,June,Sunday,Subways,Ridership,1559967,60
06/28/2021,2021,June,Monday,Subways,Ridership,2252362,40
06/29/2021,2021,June,Tuesday,Subways,Ridership,2343739,42
06/30/2021,2021,June,Wednesday,Subways,Ridership,2346388,42
07/01/2021,2021,July,Thursday,Subways,Ridership,2292461,43
07/02/2021,2021,July,Friday,Subways,Ridership,2296044,43
07/03/2021,2021,July,Saturday,Subways,Ridership,1541988,55
07/04/2021,2021,July,Sunday,Subways,Ridership,1468510,63
07/05/2021,2021,July,Monday,Subways,Ridership,1495709,64
07/06/2021,2021,July,Tuesday,Subways,Ridership,2302002,44
07/07/2021,2021,July,Wednesday,Subways,Ridership,2437064,46
07/08/2021,2021,July,Thursday,Subways,Ridership,2364250,45
07/09/2021,2021,July,Friday,Subways,Ridership,2318387,44
07/10/2021,2021,July,Saturday,Subways,Ridership,1781717,63
07/11/2021,2021,July,Sunday,Subways,Ridership,1365854,58
07/12/2021,2021,July,Monday,Subways,Ridership,2245412,43
07/13/2021,2021,July,Tuesday,Subways,Ridership,2457526,47
07/14/2021,2021,July,Wednesday,Subways,Ridership,2517615,48
07/15/2021,2021,July,Thursday,Subways,Ridership,2581582,49
07/16/2021,2021,July,Friday,Subways,Ridership,2536569,48
07/17/2021,2021,July,Saturday,Subways,Ridership,1717480,61
07/18/2021,2021,July,Sunday,Subways,Ridership,1405344,60
07/19/2021,2021,July,Monday,Subways,Ridership,2327756,44
07/20/2021,2021,July,Tuesday,Subways,Ridership,2462002,47
07/21/2021,2021,July,Wednesday,Subways,Ridership,2504568,47
07/22/2021,2021,July,Thursday,Subways,Ridership,2582151,49
07/23/2021,2021,July,Friday,Subways,Ridership,2552330,48
07/24/2021,2021,July,Saturday,Subways,Ridership,1852402,66
07/25/2021,2021,July,Sunday,Subways,Ridership,1364830,58
07/26/2021,2021,July,Monday,Subways,Ridership,2318455,44
07/27/2021,2021,July,Tuesday,Subways,Ridership,2487947,47
07/28/2021,2021,July,Wednesday,Subways,Ridership,2534756,48
07/29/2021,2021,July,Thursday,Subways,Ridership,2428764,46
07/30/2021,2021,July,Friday,Subways,Ridership,2557677,48
07/31/2021,2021,July,Saturday,Subways,Ridership,1841007,65
08/01/2021,2021,August,Sunday,Subways,Ridership,1351294,57
08/02/2021,2021,August,Monday,Subways,Ridership,2333923,45
08/03/2021,2021,August,Tuesday,Subways,Ridership,2483802,48
08/04/2021,2021,August,Wednesday,Subways,Ridership,2529002,49
08/05/2021,2021,August,Thursday,Subways,Ridership,2529190,49
08/06/2021,2021,August,Friday,Subways,Ridership,2519444,49
08/07/2021,2021,August,Saturday,Subways,Ridership,1780458,61
08/08/2021,2021,August,Sunday,Subways,Ridership,1333885,56
08/09/2021,2021,August,Monday,Subways,Ridership,2289434,45
08/10/2021,2021,August,Tuesday,Subways,Ridership,2442194,48
08/11/2021,2021,August,Wednesday,Subways,Ridership,2475949,48
08/12/2021,2021,August,Thursday,Subways,Ridership,2448589,48
08/13/2021,2021,August,Friday,Subways,Ridership,2430102,47
08/14/2021,2021,August,Saturday,Subways,Ridership,1718222,58
08/15/2021,2021,August,Sunday,Subways,Ridership,1430620,60
08/16/2021,2021,August,Monday,Subways,Ridership,2287627,45
08/17/2021,2021,August,Tuesday,Subways,Ridership,2427611,47
08/18/2021,2021,August,Wednesday,Subways,Ridership,2445638,48
08/19/2021,2021,August,Thursday,Subways,Ridership,2439624,47
08/20/2021,2021,August,Friday,Subways,Ridership,2456334,48
08/21/2021,2021,August,Saturday,Subways,Ridership,1715030,58
08/22/2021,2021,August,Sunday,Subways,Ridership,745240,31
08/23/2021,2021,August,Monday,Subways,Ridership,2052669,40
08/24/2021,2021,August,Tuesday,Subways,Ridership,2462365,48
08/25/2021,2021,August,Wednesday,Subways,Ridership,2498255,49
08/26/2021,2021,August,Thursday,Subways,Ridership,2480137,48
08/27/2021,2021,August,Friday,Subways,Ridership,2388210,46
08/28/2021,2021,August,Saturday,Subways,Ridership,1659434,56
08/29/2021,2021,August,Sunday,Subways,Ridership,1398566,59
08/30/2021,2021,August,Monday,Subways,Ridership,2321000,45
08/31/2021,2021,August,Tuesday,Subways,Ridership,2532584,49
09/01/2021,2021,September,Wednesday,Subways,Ridership,2294448,40
09/02/2021,2021,September,Thursday,Subways,Ridership,1661558,29
09/03/2021,2021,September,Friday,Subways,Ridership,2390392,41
09/04/2021,2021,September,Saturday,Subways,Ridership,1777639,55
09/05/2021,2021,September,Sunday,Subways,Ridership,1415352,56
09/06/2021,2021,September,Monday,Subways,Ridership,1521388,60
09/07/2021,2021,September,Tuesday,Subways,Ridership,2233674,39
09/08/2021,2021,September,Wednesday,Subways,Ridership,2529619,44
09/09/2021,2021,September,Thursday,Subways,Ridership,2702713,47
09/10/2021,2021,September,Friday,Subways,Ridership,2840443,49
09/11/2021,2021,September,Saturday,Subways,Ridership,1983091,62
09/12/2021,2021,September,Sunday,Subways,Ridership,1589976,62
09/13/2021,2021,September,Monday,Subways,Ridership,2852796,49
09/14/2021,2021,September,Tuesday,Subways,Ridership,3011275,52
09/15/2021,2021,September,Wednesday,Subways,Ridership,2987334,52
09/16/2021,2021,September,Thursday,Subways,Ridership,2534545,44
09/17/2021,2021,September,Friday,Subways,Ridership,3028545,52
09/18/2021,2021,September,Saturday,Subways,Ridership,2014848,63
09/19/2021,2021,September,Sunday,Subways,Ridership,1596823,63
09/20/2021,2021,September,Monday,Subways,Ridership,2883211,50
09/21/2021,2021,September,Tuesday,Subways,Ridership,3018312,52
09/22/2021,2021,September,Wednesday,Subways,Ridership,3021113,52
09/23/2021,2021,September,Thursday,Subways,Ridership,3016106,52
09/24/2021,2021,September,Friday,Subways,Ridership,3121747,54
09/25/2021,2021,September,Saturday,Subways,Ridership,2129492,66
09/26/2021,2021,September,Sunday,Subways,Ridership,1614677,63
09/27/2021,2021,September,Monday,Subways,Ridership,2873368,50
09/28/2021,2021,September,Tuesday,Subways,Ridership,2927715,51
09/29/2021,2021,September,Wednesday,Subways,Ridership,3063720,53
09/30/2021,2021,September,Thursday,Subways,Ridership,3146861,55
10/01/2021,2021,October,Friday,Subways,Ridership,3162881,55
10/02/2021,2021,October,Saturday,Subways,Ridership,2063660,62
10/03/2021,2021,October,Sunday,Subways,Ridership,1575738,64
10/04/2021,2021,October,Monday,Subways,Ridership,2864349,50
10/05/2021,2021,October,Tuesday,Subways,Ridership,3091160,54
10/06/2021,2021,October,Wednesday,Subways,Ridership,3140986,55
10/07/2021,2021,October,Thursday,Subways,Ridership,3190747,56
10/08/2021,2021,October,Friday,Subways,Ridership,3168473,55
10/09/2021,2021,October,Saturday,Subways,Ridership,2052699,62
10/10/2021,2021,October,Sunday,Subways,Ridership,1499385,61
10/11/2021,2021,October,Monday,Subways,Ridership,2263615,39
10/12/2021,2021,October,Tuesday,Subways,Ridership,3102879,54
10/13/2021,2021,October,Wednesday,Subways,Ridership,3157457,55
10/14/2021,2021,October,Thursday,Subways,Ridership,3240686,56
10/15/2021,2021,October,Friday,Subways,Ridership,3227068,56
10/16/2021,2021,October,Saturday,Subways,Ridership,2042027,61
10/17/2021,2021,October,Sunday,Subways,Ridership,1629991,66
10/18/2021,2021,October,Monday,Subways,Ridership,2982883,52
10/19/2021,2021,October,Tuesday,Subways,Ridership,3178208,55
10/20/2021,2021,October,Wednesday,Subways,Ridership,3234327,56
10/21/2021,2021,October,Thursday,Subways,Ridership,3267697,57
10/22/2021,2021,October,Friday,Subways,Ridership,3225816,56
10/23/2021,2021,October,Saturday,Subways,Ridership,2077488,62
10/24/2021,2021,October,Sunday,Subways,Ridership,1599927,65
10/25/2021,2021,October,Monday,Subways,Ridership,2994936,52
10/26/2021,2021,October,Tuesday,Subways,Ridership,2702635,47
10/27/2021,2021,October,Wednesday,Subways,Ridership,3300580,57
10/28/2021,2021,October,Thursday,Subways,Ridership,3365971,59
10/29/2021,2021,October,Friday,Subways,Ridership,3251779,57
10/30/2021,2021,October,Saturday,Subways,Ridership,2044310,61
10/31/2021,2021,October,Sunday,Subways,Ridership,1746769,71
11/01/2021,2021,November,Monday,Subways,Ridership,3034306,54
11/02/2021,2021,November,Tuesday,Subways,Ridership,2848222,51
11/03/2021,2021,November,Wednesday,Subways,Ridership,3293732,58
11/04/2021,2021,November,Thursday,Subways,Ridership,3284315,58
11/05/2021,2021,November,Friday,Subways,Ridership,3293438,58
11/06/2021,2021,November,Saturday,Subways,Ridership,2195864,69
11/07/2021,2021,November,Sunday,Subways,Ridership,1888985,75
11/08/2021,2021,November,Monday,Subways,Ridership,3065533,54
11/09/2021,2021,November,Tuesday,Subways,Ridership,3279457,58
11/10/2021,2021,November,Wednesday,Subways,Ridership,3351992,59
11/11/2021,2021,November,Thursday,Subways,Ridership,2922235,116
11/12/2021,2021,November,Friday,Subways,Ridership,3158682,56
11/13/2021,2021,November,Saturday,Subways,Ridership,2169863,69
11/14/2021,2021,November,Sunday,Subways,Ridership,1703136,68
11/15/2021,2021,November,Monday,Subways,Ridership,3110969,55
11/16/2021,2021,November,Tuesday,Subways,Ridership,3340844,59
11/17/2021,2021,November,Wednesday,Subways,Ridership,3369069,60
11/18/2021,2021,November,Thursday,Subways,Ridership,3412249,61
11/19/2021,2021,November,Friday,Subways,Ridership,3316999,59
11/20/2021,2021,November,Saturday,Subways,Ridership,2135731,68
11/21/2021,2021,November,Sunday,Subways,Ridership,1674206,66
11/22/2021,2021,November,Monday,Subways,Ridership,3130363,56
11/23/2021,2021,November,Tuesday,Subways,Ridership,3286591,58
11/24/2021,2021,November,Wednesday,Subways,Ridership,3085289,55
11/25/2021,2021,November,Thursday,Subways,Ridership,1357198,54
11/26/2021,2021,November,Friday,Subways,Ridership,2089772,83
11/27/2021,2021,November,Saturday,Subways,Ridership,1880422,60
11/28/2021,2021,November,Sunday,Subways,Ridership,1465745,58
11/29/2021,2021,November,Monday,Subways,Ridership,2996015,53
11/30/2021,2021,November,Tuesday,Subways,Ridership,3207209,57
12/01/2021,2021,December,Wednesday,Subways,Ridership,3326469,62
12/02/2021,2021,December,Thursday,Subways,Ridership,3358843,63
12/03/2021,2021,December,Friday,Subways,Ridership,3374097,63
12/04/2021,2021,December,Saturday,Subways,Ridership,2318147,70
12/05/2021,2021,December,Sunday,Subways,Ridership,1737352,68
12/06/2021,2021,December,Monday,Subways,Ridership,3135869,59
12/07/2021,2021,December,Tuesday,Subways,Ridership,3367790,63
12/08/2021,2021,December,Wednesday,Subways,Ridership,3378727,63
12/09/2021,2021,December,Thursday,Subways,Ridership,3433600,64
12/10/2021,2021,December,Friday,Subways,Ridership,3417451,64
12/11/2021,2021,December,Saturday,Subways,Ridership,2266265,68
12/12/2021,2021,December,Sunday,Subways,Ridership,1829872,72
12/13/2021,2021,December,Monday,Subways,Ridership,3120850,58
12/14/2021,2021,December,Tuesday,Subways,Ridership,3274170,61
12/15/2021,2021,December,Wednesday,Subways,Ridership,3242168,61
12/16/2021,2021,December,Thursday,Subways,Ridership,3219799,60
12/17/2021,2021,December,Friday,Subways,Ridership,3112088,58
12/18/2021,2021,December,Saturday,Subways,Ridership,1880969,57
12/19/2021,2021,December,Sunday,Subways,Ridership,1579809,62
12/20/2021,2021,December,Monday,Subways,Ridership,2716451,51
12/21/2021,2021,December,Tuesday,Subways,Ridership,2697325,51
12/22/2021,2021,December,Wednesday,Subways,Ridership,2634565,49
12/23/2021,2021,December,Thursday,Subways,Ridership,2486489,47
12/24/2021,2021,December,Friday,Subways,Ridership,1575449,62
12/25/2021,2021,December,Saturday,Subways,Ridership,810937,24
12/26/2021,2021,December,Sunday,Subways,Ridership,1284738,51
12/27/2021,2021,December,Monday,Subways,Ridership,2007649,38
12/28/2021,2021,December,Tuesday,Subways,Ridership,2168419,41
12/29/2021,2021,December,Wednesday,Subways,Ridership,2167077,41
12/30/2021,2021,December,Thursday,Subways,Ridership,2198415,41
12/31/2021,2021,December,Friday,Subways,Ridership,1627589,64
01/01/2021,2021,January,Friday,Buses,Ridership,378288,41
01/02/2021,2021,January,Saturday,Buses,Ridership,608686,51
01/03/2021,2021,January,Sunday,Buses,Ridership,413820,45
01/04/2021,2021,January,Monday,Buses,Ridership,964597,47
01/05/2021,2021,January,Tuesday,Buses,Ridership,990479,48
01/06/2021,2021,January,Wednesday,Buses,Ridership,996123,49
01/07/2021,2021,January,Thursday,Buses,Ridership,989097,48
01/08/2021,2021,January,Friday,Buses,Ridership,982175,48
01/09/2021,2021,January,Saturday,Buses,Ridership,643475,54
01/10/2021,2021,January,Sunday,Buses,Ridership,501437,55
01/11/2021,2021,January,Monday,Buses,Ridership,966517,47
01/12/2021,2021,January,Tuesday,Buses,Ridership,997279,49
01/13/2021,2021,January,Wednesday,Buses,Ridership,996646,49
01/14/2021,2021,January,Thursday,Buses,Ridership,1017757,50
01/15/2021,2021,January,Friday,Buses,Ridership,981817,48
01/16/2021,2021,January,Saturday,Buses,Ridership,645625,54
01/17/2021,2021,January,Sunday,Buses,Ridership,504031,55
01/18/2021,2021,January,Monday,Buses,Ridership,766926,84
01/19/2021,2021,January,Tuesday,Buses,Ridership,1013616,50
01/20/2021,2021,January,Wednesday,Buses,Ridership,921371,45
01/21/2021,2021,January,Thursday,Buses,Ridership,1007042,49
01/22/2021,2021,January,Friday,Buses,Ridership,1018584,50
01/23/2021,2021,January,Saturday,Buses,Ridership,619673,52
01/24/2021,2021,January,Sunday,Buses,Ridership,458203,50
01/25/2021,2021,January,Monday,Buses,Ridership,978987,48
01/26/2021,2021,January,Tuesday,Buses,Ridership,911579,45
01/27/2021,2021,January,Wednesday,Buses,Ridership,1004792,49
01/28/2021,2021,January,Thursday,Buses,Ridership,950205,46
01/29/2021,2021,January,Friday,Buses,Ridership,812264,40
01/30/2021,2021,January,Saturday,Buses,Ridership,566837,47
01/31/2021,2021,January,Sunday,Buses,Ridership,427945,47
02/01/2021,2021,February,Monday,Buses,Ridership,337228,16
02/02/2021,2021,February,Tuesday,Buses,Ridership,543073,25
02/03/2021,2021,February,Wednesday,Buses,Ridership,949695,44
02/04/2021,2021,February,Thursday,Buses,Ridership,1033791,48
02/05/2021,2021,February,Friday,Buses,Ridership,1001775,47
02/06/2021,2021,February,Saturday,Buses,Ridership,715717,57
02/07/2021,2021,February,Sunday,Buses,Ridership,367095,38
02/08/2021,2021,February,Monday,Buses,Ridership,964007,45
02/09/2021,2021,February,Tuesday,Buses,Ridership,992290,46
02/10/2021,2021,February,Wednesday,Buses,Ridership,1052021,49
02/11/2021,2021,February,Thursday,Buses,Ridership,1005348,47
02/12/2021,2021,February,Friday,Buses,Ridership,965421,45
02/13/2021,2021,February,Saturday,Buses,Ridership,656637,52
02/14/2021,2021,February,Sunday,Buses,Ridership,479319,49
02/15/2021,2021,February,Monday,Buses,Ridership,726412,74
02/16/2021,2021,February,Tuesday,Buses,Ridership,963223,45
02/17/2021,2021,February,Wednesday,Buses,Ridership,1061711,49
02/18/2021,2021,February,Thursday,Buses,Ridership,725951,34
02/19/2021,2021,February,Friday,Buses,Ridership,809308,38
02/20/2021,2021,February,Saturday,Buses,Ridership,679240,54
02/21/2021,2021,February,Sunday,Buses,Ridership,516715,53
02/22/2021,2021,February,Monday,Buses,Ridership,927414,43
02/23/2021,2021,February,Tuesday,Buses,Ridership,1040398,48
02/24/2021,2021,February,Wednesday,Buses,Ridership,1099351,51
02/25/2021,2021,February,Thursday,Buses,Ridership,1069420,50
02/26/2021,2021,February,Friday,Buses,Ridership,1065376,50
02/27/2021,2021,February,Saturday,Buses,Ridership,635820,50
02/28/2021,2021,February,Sunday,Buses,Ridership,491545,50
03/01/2021,2021,March,Monday,Buses,Ridership,1020837,46
03/02/2021,2021,March,Tuesday,Buses,Ridership,1024511,46
03/03/2021,2021,March,Wednesday,Buses,Ridership,1119137,50
03/04/2021,2021,March,Thursday,Buses,Ridership,1078036,48
03/05/2021,2021,March,Friday,Buses,Ridership,1041408,46
03/06/2021,2021,March,Saturday,Buses,Ridership,696719,52
03/07/2021,2021,March,Sunday,Buses,Ridership,525930,53
03/08/2021,2021,March,Monday,Buses,Ridership,1039763,46
03/09/2021,2021,March,Tuesday,Buses,Ridership,1101988,49
03/10/2021,2021,March,Wednesday,Buses,Ridership,1104610,49
03/11/2021,2021,March,Thursday,Buses,Ridership,1107502,49
03/12/2021,2021,March,Friday,Buses,Ridership,1092388,49
03/13/2021,2021,March,Saturday,Buses,Ridership,730218,55
03/14/2021,2021,March,Sunday,Buses,Ridership,531754,53
